aux,DB,DP_DB,DP_DA,Rep,DA,Epsilon,Col,Error,EuD,Query
1,3201879.188900747,3309980.9984246846,19170778.229400635,0,3205300,0.1,#NodesRequested_sum,-15965478.229400635,504041520.81067556,sum
1,3201879.188900747,3339111.101229241,-19076200.37045288,1,3205300,0.1,#NodesRequested_sum,22281500.37045288,693103195.1107209,sum
1,3201879.188900747,3422962.7450520485,-300122.478515625,2,3205300,0.1,#NodesRequested_sum,3505422.478515625,166082593.3253301,sum
1,3201879.188900747,3418285.181792122,-11737357.642852783,3,3205300,0.1,#NodesRequested_sum,14942657.642852783,474663739.6851276,sum
1,3201879.188900747,3386272.1534372615,17669718.871032715,4,3205300,0.1,#NodesRequested_sum,-14464418.871032715,460410534.57094467,sum
1,3201879.188900747,3278496.645399568,-23832239.999786377,5,3205300,0.1,#NodesRequested_sum,27037539.999786377,837275535.640726,sum
1,3201879.188900747,3321624.6547161415,72768476.39263916,6,3205300,0.1,#NodesRequested_sum,-69563176.39263916,2133069987.7550046,sum
1,3201879.188900747,3325350.0587124494,-4859301.084838867,7,3205300,0.1,#NodesRequested_sum,8064601.084838867,277237140.53290343,sum
1,3201879.188900747,3458150.1440353026,5498811.7783203125,8,3205300,0.1,#NodesRequested_sum,-2293511.7783203125,142140779.38203192,sum
1,3201879.188900747,3622192.8963026945,-8169210.277099609,9,3205300,0.1,#NodesRequested_sum,11374510.27709961,373067509.8227507,sum
1,3201879.188900747,3413561.5056007816,20081265.344726562,10,3205300,0.1,#NodesRequested_sum,-16875965.344726562,533258217.34255123,sum
1,3201879.188900747,3423359.712796202,-24033282.384979248,11,3205300,0.1,#NodesRequested_sum,27238582.384979248,844196990.3980833,sum
1,3201879.188900747,3465716.988270005,-61811352.6786499,12,3205300,0.1,#NodesRequested_sum,65016652.6786499,1994494016.2749474,sum
1,3201879.188900747,3466028.6907173735,-25047133.797851562,13,3205300,0.1,#NodesRequested_sum,28252433.797851562,874687279.9939141,sum
1,3201879.188900747,3451393.940570978,-11406249.810668945,14,3205300,0.1,#NodesRequested_sum,14611549.810668945,466123756.65058845,sum
1,3201879.188900747,3513133.0422082045,-49369251.60379028,15,3205300,0.1,#NodesRequested_sum,52574551.60379028,1614624890.6850371,sum
1,3201879.188900747,3499221.4554601526,10425774.982208252,16,3205300,0.1,#NodesRequested_sum,-7220474.982208252,257372668.36983514,sum
1,3201879.188900747,3492384.6006907662,19450958.69668579,17,3205300,0.1,#NodesRequested_sum,-16245658.696685791,514476785.5883884,sum
1,3201879.188900747,3496427.5850412822,15609358.690093994,18,3205300,0.1,#NodesRequested_sum,-12404058.690093994,401809352.0412878,sum
1,3201879.188900747,3609899.437022707,-34532159.66278076,19,3205300,0.1,#NodesRequested_sum,37737459.66278076,1162947280.9602022,sum
1,3201879.188900747,3478990.185957751,20479330.07092285,20,3205300,0.1,#NodesRequested_sum,-17274030.07092285,546970660.467447,sum
1,3201879.188900747,3476333.5006130957,10950881.477081299,21,3205300,0.1,#NodesRequested_sum,-7745581.477081299,275376176.85102075,sum
1,3201879.188900747,3449210.917891935,6148453.722625732,22,3205300,0.1,#NodesRequested_sum,-2943153.7226257324,166750892.58233005,sum
